# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cpu-clock'
# Event count (approx.): 14691750000
#
# Overhead  Command          Shared Object                 Symbol                                            
# ........  ...............  ............................  ..................................................
#
    15.84%  nemu             nemu                          [.] paddr_read
    15.27%  nemu             nemu                          [.] is_mmio
    11.05%  nemu             nemu                          [.] exec_real
    11.01%  nemu             nemu                          [.] read_ModR_M
     7.18%  nemu             nemu                          [.] load_addr
     4.27%  nemu             [kernel.kallsyms]             [k] vmw_cmdbuf_header_submit
     3.51%  nemu             nemu                          [.] operand_write
     3.45%  nemu             nemu                          [.] device_update
     3.23%  nemu             nemu                          [.] exec_wrapper
     2.66%  nemu             nemu                          [.] cpu_exec
     2.07%  nemu             nemu                          [.] decode_mov_E2G
     1.50%  nemu             nemu                          [.] exec_cmp
     1.48%  nemu             nemu                          [.] decode_mov_G2E
     1.48%  nemu             nemu                          [.] exec_add
     1.16%  nemu             nemu                          [.] decode_G2E
     1.01%  nemu             nemu                          [.] decode_J
     0.95%  nemu             nemu                          [.] rtl_setcc
     0.93%  nemu             nemu                          [.] paddr_write
     0.89%  nemu             nemu                          [.] exec_mov
     0.83%  nemu             nemu                          [.] exec_2byte_esc
     0.82%  nemu             nemu                          [.] decode_E2G
     0.72%  nemu             nemu                          [.] exec_inc
     0.67%  nemu             libc-2.23.so                  [.] __memcpy_sse2_unaligned
     0.66%  nemu             nemu                          [.] vaddr_read
     0.64%  nemu             [kernel.kallsyms]             [k] __do_softirq
     0.59%  nemu             [kernel.kallsyms]             [k] __lock_text_start
     0.57%  nemu             nemu                          [.] decode_r
     0.41%  nemu             nemu                          [.] exec_jcc
     0.37%  nemu             nemu                          [.] decode_I2a
     0.36%  nemu             [kernel.kallsyms]             [k] finish_task_switch
     0.34%  nemu             nemu                          [.] decode_SI2E
     0.32%  nemu             nemu                          [.] mmio_write
     0.29%  nemu             nemu                          [.] decode_lea_M2G
     0.24%  nemu             nemu                          [.] exec_imul2
     0.14%  nemu             nemu                          [.] exec_sub
     0.12%  nemu             nemu                          [.] exec_xor
     0.11%  nemu             nemu                          [.] exec_test
     0.10%  nemu             nemu                          [.] decode_E
     0.09%  nemu             [kernel.kallsyms]             [k] exit_to_usermode_loop
     0.09%  nemu             nemu                          [.] exec_lea
     0.08%  nemu             nemu                          [.] exec_gp1
     0.08%  nemu             nemu                          [.] exec_push
     0.08%  nemu             nemu                          [.] exec_movzx
     0.08%  nemu             [kernel.kallsyms]             [k] vmw_get_cap_3d_ioctl
     0.07%  nemu             nemu                          [.] decode_gp2_Ib2E
     0.06%  nemu             nemu                          [.] exec_pop
     0.05%  nemu             nemu                          [.] vaddr_write
     0.05%  nemu             nemu                          [.] exec_div
     0.05%  dbus-daemon      [kernel.kallsyms]             [k] __copy_user_ll
     0.04%  nemu             nemu                          [.] __umoddi3
     0.04%  nemu             nemu                          [.] exec_shl
     0.04%  nemu             nemu                          [.] decode_mov_I2r
     0.04%  nemu             vmwgfx_dri.so                 [.] 0x000b5643
     0.04%  nemu             vmwgfx_dri.so                 [.] 0x000b5651
     0.03%  nemu             nemu                          [.] __udivdi3
     0.03%  nemu             nemu                          [.] 0x00001030
     0.03%  nemu             vmwgfx_dri.so                 [.] 0x000b5630
     0.03%  nemu             nemu                          [.] decode_gp2_cl2E
     0.03%  nemu             vmwgfx_dri.so                 [.] 0x000b564e
     0.03%  nemu             nemu                          [.] exec_shr
     0.03%  nemu             vmwgfx_dri.so                 [.] 0x000b5638
     0.03%  nemu             vmwgfx_dri.so                 [.] 0x000b5653
     0.03%  nemu             nemu                          [.] decode_I2E
     0.03%  nemu             nemu                          [.] decode_mov_I2E
